name,name2
jndxxb-zrkxb,济南大学学报. 自然科学版
gsps,给水排水
jlxb,计量学报
jsjclykz,计算机测量与控制
jsjfz,计算机仿真
jsjfzsjytxxxb,计算机辅助设计与图形学学报
jsjgcykx,计算机工程与科学
jsjgcysj,计算机工程与设计
jsjjczzxt,计算机集成制造系统
jsjkx,计算机科学
jsjxb,计算机学报
jsjyjyfz,计算机研究与发展
jsjyy,计算机应用
jsjyyyj,计算机应用研究
jsjyyyrj,计算机应用与软件
jsjyyyhx,计算机与应用化学
jslxxb,计算力学学报
jssx,计算数学
jswl,计算物理
ndxxb-zrkxyyxb,暨南大学学报. 自然科学与医学版
nxb-zxshkxb,暨南学报. 哲学社会科学版
jxssxb,家畜生态学报
jgllysj,价格理论与实践
jgyk,价格月刊
jzclxb,建筑材料学报
jzgjgjz,建筑钢结构进展
jzjg,建筑结构
jzjgxb,建筑结构学报
jzjj,建筑经济
jzkx,建筑科学
jzkxygcxb,建筑科学与工程学报
jzxb,建筑学报
jckxjs,舰船科学技术
jhxk,江海学刊
jhkg,江汉考古
jhls,江汉论坛
jn,江南
jsdxxb-zrkxb,江苏大学学报. 自然科学版
jsgj,江苏高教
jsnykx,江苏农业科学
jsnyxb,江苏农业学报
jsshkx,江苏社会科学
jsxzxyxb,江苏行政学院学报
jsyy,江苏医药
jxcjdxxb,江西财经大学学报
jxnydxxb,江西农业大学学报
jxshkx,江西社会科学
jxsfdxxb-zrkxb,江西师范大学学报. 自然科学版
jtysgcxb,交通运输工程学报
jtysxtgcyxx,交通运输系统工程与信息
jx,交响
jsjyyj,教师教育研究
jxygl,教学与管理
jxyyj,教学与研究
jxyk-zxb,教学月刊. 中学版
jychyj,教育财会研究
jyfzyj,教育发展研究
jykx,教育科学
jykxyj,教育科学研究
jyllysj,教育理论与实践
jypl,教育评论
jyss,教育探索
jyxb,教育学报
jyxsyk,教育学术月刊
jyyj,教育研究
jyyjysy,教育研究与实验
jyyjj,教育与经济
jyyzy,教育与职业
jsgg,节水灌溉
jggcs,结构工程师
